English,Nagamese,,,,
"So too this daughter of Abraham, whom Satan bound for eighteen long years, should her bonds not be untied on the Sabbath day?"" 17","Itu mahila, Abraham laga suwali ase, jun ke Saitan para atharo saal tak bandhi kena rakhise, tine hoile tai ke Bisram din te khuli nadibo lage naki?” 17",,,,
"As he said these things, all those who opposed him were ashamed, but the whole crowd was rejoicing over all the glorious things he did. 18","Jitia Tai itu kotha kori kena khotom hoise, jun Jisu ke ghusa kori thakise tai khan sorom lagi jaise, kintu sob manu khan khushi kori kena dhanyabad di thakise juntu kaam Tai kori kena dikhai diya karone. 18",,,,
"Then Jesus said, ""What is the kingdom of God like, and what can I compare it to? 19","Titia Jisu koise, “Isor laga rajyo to kineka ase, aru Moi itu ke ki logote tulona koribo? 19",,,,
"It is like a mustard seed that a man took and threw into his garden, and it grew into a big tree, and the birds of heaven built their nests in its branches."" 20","Itu ekta sorso guti nisena ase jineka ekjon manu pora loi kena tai laga kheti te phelai se, aru itu dangor gash hoi jaise, aru tate chiriya khan bi ahikena ghor bonaise.” 20",,,,
"Again he said, ""To what can I compare the kingdom of God? 21","Aru Tai koise, “Isor laga rajyo to ki logote tulona koribo? 21",,,,
"It is like yeast that a woman took and mixed with three measures of flour all the flour was leavened."" 22","Ekjon mahila pora tin tukri chawal majote khomir hali dise, jitia tak itu phuli janai.” 22",,,,
"Then Jesus traveled through the towns and villages, teaching and making his way toward Jerusalem. 23",Aru Jisu nogor aru bostikhan te jai kena hikai thakise aru Jerusalem te jabo nimite taiyar kori thakise. 23,,,,
"Someone said to him, ""Lord, are only a few people to be saved?"" So he said to them, 24","Etiya ekjon pora Tai ke koise, “Probhu, jun poritran pai ase tai khan olop jon he ase naki?” Titia Tai taikhan ke koise, 24",,,,
"""Struggle to enter through the narrow door, because, I say to you, many will try to enter, but will not be able to enter. 25","“Itu chutu rasta te jabole nimite dukh koribi, kilemane Moi tumi khan ke koi ase, bisi manu itu te ghusi bole kosis koribo, kintu ghusi bole naparibo. 25",,,,
"Once the owner of the house gets up and locks the door, then you will stand outside and pound the door and say, 'Lord, Lord, let us in.' ""He will answer and say to you, 'I do not know you or where you are from.' 26","Jitia ghor laga malik pora dorwaja to bondh kori dibo, titia tumi dorja to marikena kobo, ‘Probhu, moi khan nimite khuli bi.’ Kintu tai tumi khan ke kobo, ‘Moi tumi khan ke najane, aru tumi khan kot pora ase.’ 26",,,,
"""Then you will say, 'We ate and drank in front of you and you taught in our streets.' 27","Titia tumi he kobo, ‘Amikhan Apni logote bohikena eke logote khai sele, aru Apni amikhan laga jagate ahikena sikhai dise.’ 27",,,,
"""But he will reply, 'I say to you, I do not know where you are from. Get away from me, you who commit iniquity!' 28","Titia Tai kobo, ‘Moi tumi khan ke koi ase, Moi tumi khan kot pora ahise najane. Moi usor pora dur hoi jabi sob biya kaam kora khan!’ 28",,,,
"There will be crying and the grinding of teeth when you see Abraham, Isaac, Jacob, and all the prophets in God's kingdom, but you are thrown out. 29","Itu jagate, kanda he thakibo, aru dath chababo aru jitia Abraham, Isaac aru Jacob aru sob bhabobadi khan ke Isor laga rajyo to dikhibo, kintu itu pora tumi khan ke bahar te phelai dibo. 29",,,,
"They will come from the east, west, north, and south, and be seated at a table in the kingdom of God. 30","Tai khan purab, paschim, uttor aru dakshin pora ahikena Isor laga rajyo te bohibo. 30",,,,
"Know this, those who are least important will be first, and those who are most important will be last."" 31","Aru sabi, kun manu pichete thakise tai khan age te ase, aru kunba jun age te ase, tai khan pichete hoi jabo.” 31",,,,
"In that same hour, some Pharisees came and said to him, ""Go and leave here because Herod wants to kill you."" 32","Itu homoi te, kunba Pharisee khan Tai usorte ahikena koise, “Ami khan ke chari bi aru yate pora jai jabi, kile mane Herod tumi ke morai dibole bisari ase.” 32",,,,
"Jesus said, ""Go and tell that fox, 'Look, I cast out demons and perform healings today and tomorrow, and the third day I will reach my goal.' 33","Jisu tai khan ke koise, “Jai kena utu siyal ke kobi, ‘Sabi, Moi bhoot khan ke khedai dise aru bemar khan ke aji aru kali bhal korise, aru tin din pichete Moi laga lakshya punchi jabo.’ 33",,,,
"In any case, it is necessary for me to continue on today, tomorrow, and the following day, since it is not acceptable for a prophet to be destroyed outside of Jerusalem. 34","Jineka hoile bi Moi kaam kori thakibo, aji, kali aru aha din te bi, kilekoile Jerusalem te bhabobadi khan harai ja-a to bhal nai. 34",,,,
"Jerusalem, Jerusalem, who kills the prophets and stones those sent to you. How often I desired to gather your children the way a hen gathers her brood under her wings, but you did not desire this. 35","Oh Jerusalem, Jerusalem, kun he bhabobadi khan ke morai diye aru tumi khan usorte ahile pathor pora mari kena pathai diye. Moi kiman itcha korise tumi khan laga bacha khan ke eke logote rakhibole nimite jineka ekta murgi tai laga bacha khan ke pakhi nichete rakhe. Kintu tumi khan itu itcha nakore. 35",,,,
"See, your house is abandoned. I say to you, you will not see me until you say, 'Blessed is he who comes in the name of the Lord.'"" 1","Sabi, tumi khan laga ghor to khali hoi jaise. Kile Moi kobo, tumi khan Moike aru nadikhibo itu homoi naha tak, jitia tumi khan kobo, ‘Asirbad pabo jun Probhu laga naam te ahise.’” 1",,,,
"It happened one Sabbath, when he went into the house of one of the leaders of the Pharisees to eat bread, that they were watching him closely. 2","Etiya eneka hoise, Jisu ekjon Pharisee khan laga ghor te Bisram din te khana khabole nimite jaise, aru tai khan Taike bhal pora sai thakise. 2",,,,
"Behold, there in front of him was a man who was suffering from edema. 3",Aru tate ekjon manu thakise jun gaw phula bemar pora dukh pai thakise. 3,,,,
"Jesus asked the experts in the Jewish law and the Pharisees, ""Is it lawful to heal on the Sabbath, or not?"" 4","Titia Jisu Pharisee khan aru Yehudi kanun jana manu khan ke hudi kena koise, “Bisram din te changai koribole pare na nai?” 4",,,,
"But they kept silent. So Jesus took hold of him, healed him, and sent him away. 5","Kintu tai khan eku kowa nai, titia Jisu taike dhorise aru changai kori dise, aru taike pathai dise. 5",,,,
"He said to them, ""Which of you who has a son or an ox that falls into a well on the Sabbath day will not immediately pull him out?"" 6","Titia Tai pora tai khan ke koise, “Tumi khan majote kunba tai laga bacha nahoile bi tai laga janwar Bisram din te pani te giri le jai kena phot uthai nolobo naki?” 6",,,,
They were not able to give an answer to these things. 7,Tai khan itu kotha te eku jowab dibo para nai. 7,,,,
"When Jesus noticed how those who were invited chose the seats of honor, he spoke a parable, saying to them, 8","Titia Tai arubi taikhan ke ekta dristanto koi se, jun khan ke khabole matisele, tai khan kineka kori kena bhal jagate bohibole pabo, itu kosis kori thakise. 8",,,,
"""When you are invited by someone to a wedding feast, do not sit down in the place of honor, because someone may have been invited who is more honored than you. 9","Jitia tumikhan ke shadi te khabole mate, tumi khan bhal jagate nabohibi, kilekoile tumi khan pora bi kunba bisi sonman thaka manu ke mati kena thakibo pare, 9",,,,
"When the person who invited both of you arrives, he will say to you, 'Give this other person your place,' and then in shame you will proceed to take the lowest place. 10","aru jitia tumi aru dusra manu jun ke khana te matise, tai tumikhan ke kobo, ‘Tumi laga jaga to tai ke dibi,’ aru titia sorom pora tai ke itu jaga to di kena tumi chutu jagate he bohi jai. 10",,,,
"But when you are invited, go and sit down in the lowest place, so that when the one who has invited you comes, he may say to you, 'Friend, go up higher.' Then you will be honored in the presence of all who sit at the table with you. 11","Jitia, tumi ke mate, jabi aru sobse chutu jagate he bohibi, jitia jun pora tumike matise tai ahibo, tai tumike kobo, ‘Sathi, uporte ahibi.’ Titia tumi laga sonman to dusra manu bohi thaka usorte bisi hoi jai. 11",,,,
"For everyone who exalts himself will be humbled, and he who humbles himself will be exalted."" 12","Jun manu nijor ke dangor koribole bisare tai chutu hoi jabo, aru jun manu tai nijor ke chutu kore tai ke uthai dibo.” 12",,,,
"Jesus also said to the man who had invited him, ""When you give a dinner or a banquet, do not invite your friends or your brothers or your relatives or your rich neighbors, as they may also invite you in return, and you will be repaid. 13","Titia tai itu manu ke kobo jun he taike matise, “Jitia tumi kha luwa koribo, tumi laga bhal sathi khan, bhai khan aru dhuni manu ke namatibi, nohoile tai khan bi tumi ke matibo, aru tumi tai khan nimite ki korise itu he apni pabo. 13",,,,
"But when you give a banquet, invite the poor, the crippled, the lame, and the blind, 14","Kintu jitia tumi kha luwa kore, gorib khan, berabole napara, andha aru bemar manu khan ke mati bi, 14",,,,
"and you will be blessed, because they cannot repay you. For you will be repaid in the resurrection of the just."" 15","aru tumi khan asirbad pabo, kilemane tai khan tumi ke ghurai kena eku dibole naparibo. Kintu tumi khan ke Jisu Khrista wapas lobole aha homoite biswasi khan logote sob kaam laga inam dibo.” 15",,,,
"When one of them who sat at the table with Jesus heard these things, he said to him, ""Blessed is he who will eat bread in the kingdom of God!"" 16","Jitia jun ekjon mez te bohi thakise aru itu khan huni thakise, tai Jisu ke koise, “Asishit ase jun Isor laga rajyo te roti khabo!” 16",,,,
"But Jesus said to him, ""A certain man prepared a large dinner and invited many. 17","Kintu Jisu taike koise, “Ekjon manu dangor kha luwa bonai kena manu khan ke matise. 17",,,,
"At the dinner hour, he sent his servant to say to those who were invited, 'Come, because everything is now ready.' 18","Aru jitia khabole homoi ahise, tai laga sewak khan ke pathai kena jun manu khan ke matise tai khan ke koise, ‘Ahibi, sob to taiyar hoi jaise.’ 18",,,,
"""They all alike began to make excuses. The first said to him, 'I have bought a field, and I must go out and see it. Please excuse me.' 19","Kintu tai khan sob nijor bahana koribole shuru hoise. Poila ekjon pora koise, ‘Moi ekta kheti kinise, aru moi tate jai kena sabo lagibo. Morom pora biya napabi.’ 19",,,,
"""Another said, 'I have bought five pairs of oxen, and I am going to try them out. Please excuse me.' 20","Aru ekjon pora koise, moi pansta guru kinise, moi taikhan ke kheti te loi jaikena ekbar sabo. Morom pora biya napabi.’ 20",,,,
"""Then another man said, 'I have married a wife, and therefore I cannot come.' 21","Aru dusra ekjon pora koise, ‘Moi ekjon maiki logote shadi korise, aru itu nimite moi ahibole naparibo.’ 21",,,,
"""The servant came and told his master these things. Then the master of the house became angry and said to his servant, 'Go out quickly into the streets and lanes of the town and bring in here the poor, the crippled, the blind, and the lame.' 22","Titia sewak khan sob kotha to tai laga malik ke ahikena koise. Ghor laga malik khong uthi kena, sewak khan ke koise, ‘Bahar te joldi jabi aru bosti rasta pora gorib manu, berabole napara, suku andha aru bemar manu ke loi anibi.’ 22",,,,
"""The servant said, 'Master, what you commanded has been done, and yet there is still room.' 23","Titia sewak khan pora koise, ‘Probhu Apni ki koise eneka kori dise, aru bi bisi jaga bachi kena ase.’ 23",,,,
"""The master said to the servant, 'Go out into the highways and hedges and compel them to come in, that my house may be filled. 24","Titia malik tai laga sewak khan ke koise, ‘Bahar te jabi aru rasta kinar aru jun jaga pora hoile tai khan ke mati kena loi anibi, Moi laga ghor to bhorta hobo lage. 24",,,,
"For I say to you, none of those men who were invited will taste my dinner.'"" 25","Moi tumi khan ke koi ase, jun manu khan ke Moi poila matisele tai khan Moi ki kha luwa bonaise itu khabole napabo.’” 25",,,,
"Now large crowds were going with him, and he turned and said to them, 26","Etiya bisi manukhan Jisu laga pichete jai thakise, Tai ghuri kena tai khan ke koise, 26",,,,
"""If anyone comes to me and does not hate his own father, mother, wife, children, brothers and sisters, and even his own life, he cannot be my disciple. 27","“Jun manu Moi logote ahibole itcha ase kintu tai nijor laga baba, ama, maiki, bacha, bhai, bhoini aru nijor jibon to ghin nakore, tai Moi laga chela hobole naparibo. 27",,,,
Whoever does not carry his own cross and come after me cannot be my disciple. 28,Jun manu tai nijor laga krus uthai kena Moi pichete nahe tai Moi laga chela hobole naparibo. 28,,,,
For which of you who desires to build a tower does not first sit down and count the cost to calculate if he has what he needs to complete it? 29,"Jun manu ekta ghor bonabole itcha kore, aru tai poila bohikena kiman poisa ase itu ginti nakore- tai logote poisa thaka to ghor khotom koribo paribole nimite punchibo na nai? 29",,,,
"Otherwise, when he has laid a foundation and is not able to finish, all who see it will begin to mock him, 30","Jitia, tai ghor laga bhetimul to uthai dibo, aru ghor to khotom koribole naparile, sob manu saikena taike hasi dibo, 30",,,,
"saying, 'This man began to build and was not able to finish.' 31","aru kobo, itu manu ghor to bonabole shuru korise kintu khotom koribole para nai.’ 31",,,,
"Or what king, as he goes to encounter another king in war, will not sit down first and take advice about whether he is able with ten thousand men to fight the other king who comes against him with twenty thousand men? 32","Aru ekjon raja, dusra raja logote lorai kori bole ase, tai poila bohikena nasabo naki, tai laga dos hajar manu pora dusra raja laga bis hajar logote lorai koribo paribona nai? 32",,,,
"If not, while the other army is still far away, he sends a delegation and asks for conditions of peace. 33","Kintu, tai dur te thaka homoi te, ekjon manu ke shanti pora kotha kori kena lorai to rukhai dibo. 33",,,,
"So therefore, any one of you who does not give up all his possessions cannot be my disciple. 34","Itu nisena, jun manu tai laga sob dhun sompoti chari kena nahile, tai Moi laga chela hobole naparibo. 34",,,,
"Salt is good, but if the salt has lost its taste, how can it be made salty again? 35","Itu nimite nimok to bhal ase, kintu nimok laga swadh harai dile kineka itu ke aru swadisht bonabo? 35",,,,
"It is of no use for the soil or even for the manure pile. It is thrown away. He who has ears to hear, let him hear."" 1","Itu ke mati nimite bi aru kheti te mol bonabole bi kaam nathake. Tai khan itu ke phelai dibo. Jun manu logote hunibole kan ase, tai khan huni bi.” 1",,,,
Now all the tax collectors and other sinners were coming to Jesus to listen to him. 2,Aru itu homoi te sob poisa utha aru paapi khan Jisu laga kotha hunibole nimite ahise. 2,,,,
"Both the Pharisees and the scribes grumbled to each other, saying, ""This man welcomes sinners, and even eats with them."" 3","Kintu Pharisee khan aru kanun likha khan ekjon-ekjon logote koi thakise, “Itu manu paapi khan ke mate, aru tai khan logote bohi kena khai.” 3",,,,
"Jesus spoke this parable to them, saying, 4","Titia Jisu he itu dristanto taikhan ke koise, 4",,,,
"""Which one of you, if he has a hundred sheep and then loses one of them, will not leave the ninety-nine in the wilderness, and go after the lost one until he finds it? 5","“Yate kun ase, jun logote eksoh mer ase kintu tai ekta haraise koile, tai ninyanve ke jongol te chari kena jun to haraise itu ke bisari bole najabo? 5",,,,
"Then when he has found it, he lays it across his shoulders and rejoices. 6","Aru jitia tai itu mer to pai jai, tai laga pithite uthai kena khushi pora loi ane. 6",,,,
"When he comes to the house, he calls together his friends and his neighbors, saying to them, 'Rejoice with me, for I have found my lost sheep.' 7","Jitia tai ghor te ahijai, tai sobke mate, tai laga sathi aru usorte thaka manu khan ke koi, ‘Moi logot khushi koribi, moi laga harai ja-a mer paise.’ 7",,,,
"I say to you that even so, there will be joy in heaven over one sinner who repents, more than over ninety-nine righteous persons who do not need to repent. 8","Moi tumi khan ke koi ase, sorgote bi eneka khushi koribo jitia ekjon paapi manu mon ghurai kena ahibo, itu ninyanve thaka pora bi bisi khushi hobo, kilekoile taikhan to mon ghura bole eku nai. 8",,,,
"Or what woman who has ten silver coins, if she were to lose one coin, would not light a lamp, sweep the house, and seek diligently until she has found it? 9","Aru kun mahila, jun logote dosta chandi poisa thakise, jodi ekta harai diye, titia tai saaki jolai kena ghor jharu marikena sob sapha kori bisaribo nohoi jitia tak itu poisa napai? 9",,,,
"When she has found it, she calls together her friends and neighbors, saying, 'Rejoice with me, for I have found the coin which I lost.' 10","Aru jitia tai pai loi, tai laga sathi aru ghor usorte thaka manu khan ke matikena, koi ‘Moi logote khushi koribi, kile mane moi laga harai juwa poisa to moi paise.’ 10",,,,
"Even so, I say to you, there is joy in the presence of the angels of God over one sinner who repents."" 11","Itu nisena he, Moi tumi khan ke koi ase, aru Isor laga sorgoduth majote bi khushi hoi jitia ekjon paapi manu mon ghurai kena ahe.” 11",,,,
"Then Jesus said, ""A certain man had two sons, 12","Titia Jisu he koise, “Ekjon manu laga duita chokra thakise, 12",,,,
"and the younger of them said to his father, 'Father, give me the portion of the wealth that falls to me.' So he divided his property between them. 13","aru chutu chokra pora baba ke koise, ‘Baba, moi laga dhun sompoti te ki bhag ase itu moike dibi.’ Titia tai laga baba pora dui bhag kori kena duijon ke di dise. 13",,,,
"Not many days later, the younger son gathered together all he owned and went to a country far away, and there he wasted all his wealth by living recklessly. 14","Aru bisi din nohoi kena, chutu chokra tai laga ki ase itu sob joma kori kena dur jagate jai jaise, aru tate tai laga sob dhun sompoti cholai kena khotom kori dise. 14",,,,
"Now when he had spent everything, a severe famine spread through that country, and he began to be in need. 15","Jitia tai logote ki thakise itu sob khotom hoi jaise, titia itu pura desh te dangor akaal ahi jaise, aru tai bisi dukh paise. 15",,,,
"He went and hired himself out to one of the citizens of that country, who sent him into his fields to feed pigs. 16","Titia tai kaam bisari kena ekta manu laga ghor te jaise, aru itu manu pora taike kheti te gahori ke dana khila bo nimite pathai dise. 16",,,,
He was longing to eat the carob pods that the pigs ate because no one gave him anything. 17,"Tai bisi bhuk laga pora gahori dana hoilebi khabo bhabi kena jaise, kintu tai khabole eku pa-a nai. 17",,,,
"But when the young son came to himself, he said, 'How many of my father's hired servants have more than enough bread, and I am here, perishing from hunger! 18","Jitia tai nijor laga halat dikhise, tai koise, ‘Moi laga baba ghor te kiman jon hajira manu khan thakise tai khan bi pet bhorta kori kena khabole pai thakibo, kintu moi yate, bhuka pora moribole ase! 18",,,,
"I will get up and leave here and go to my father, and will say to him, ""Father, I have sinned against heaven and against you. 19","Moi uthi kena moi laga baba ghor te jabo, aru tai ke kobo, “Baba, moi sorgo aru apni agete paap korise. 19",,,,
"I am no longer worthy to be called your son; make me as one of your hired servants.""' 20",Moi apni laga chokra kobole layak nai, moike bi apni laga ekjon hajira manu nisena he bonai kena rakhibi.’” 20,,,
"So the young son got up and left and came toward his father. While he was still far away, his father saw him and was moved with compassion, and he ran and embraced him and kissed him. 21","Titia tai uthi kena baba laga ghor te jaise. Jitia tai dur te he thakise, tai laga baba pora dikhise aru morom pora bhorta hoi jaise, aru polai kena taike dhuri se aru chuma dise. 21",,,,
"The son said to him, 'Father, I have sinned against heaven and against you. I am no longer worthy to be called your son.' 22","Titia chokra pora koise, ‘Baba, moi sorgo aru apni usorte paap korise. Moi apni laga chokra kobole layak nai.’ 22",,,,
"""The father said to his servants, 'Bring quickly the best robe, and put it on him, and put a ring on his hand, and sandals on his feet. 23","Kintu baba pora tai laga sewak khan ke koise, ‘Sobse bhal kapra joldi anibi, aru tai ke lagai dibi, aru tai laga anguli te anguthi lagai dibi, aru notun chapal bi lagai dibi. 23",,,,
Then bring the fattened calf and kill it. Let us feast and be merry! 24,"Aru sobse bhal guru laga bacha to ani kena maribi, aru moi khan sob kha luwa kori kena khushi koribo! 24",,,,
"For my son was dead, and now he is alive. He was lost, and now he is found.' Then they began to be merry. 25","Kilemane moi laga chokra to mori jaisele, kintu etiya jinda hoise; tai harai jaise, kintu etiya pai loise.’ Titia tai khan sob khushi korise. 25",,,,
"""Now his older son was out in the field. As he came and approached the house, he heard music and dancing. 26","Itu homoite tai laga dangor chokra kheti te thakise. Jitia tai ghor usorte ponchise, tai manukhan gana korikena nachi thaka awaj hunise. 26",,,,
He called to one of the servants and asked what these things might be. 27,Titia tai ekjon sewak ke matikena ki hoi ase itu hudise. 27,,,,
"The servant said to him, 'Your brother has come home and your father has killed the fattened calf because he has received him healthy.' 28","Titia sewak pora koise, ‘Tumi laga bhai wapas ahise aru tumi laga baba pora sobse bhal guru laga bacha katise. Kilemane baba pora tumi laga bhai ke bhal korikena wapas pai loise.’ 28",,,,
"""The older son was angry and would not go in, and his father came out and pleaded with him. 29","Kintu dangor chokra to khong uthise aru bhitorte jabole mon kora nai, itu karone tai laga baba bahar te ulai kena taike ahibole nimite matise. 29",,,,
"But the older son answered and said to his father, 'Look, these many years I slaved for you, and I never neglected a command of yours, and yet you never gave me a young goat that I might be merry with my friends, 30","Kintu dangor chokra pora tai laga baba ke koise, ‘Sabi, iman saal moi apni nimite kaam korise, aru kitia bi kanun bhanga nai, hoilebi apni moike ekta chutu saguli bi diya nai amilaga sathi khan logote jai kena khushi koribole, 30",,,,
"but when your son came, who has devoured your living with prostitutes, you killed for him the fattened calf.' 31","kintu jitia apni laga itu chokra ahise, jun he apni laga dhun sompoti sob to biya kaam kori kena phelai dise, tai nimite apni sobse bhal guru laga bacha to katise.’ 31",,,,
"""The father said to him, 'Child, you are always with me, and all that is mine is yours. 32","Titia baba taike koise, ‘Bacha, tumi hodai moi logote ase, aru itu sob to tumi laga he ase. 32",,,,
"But it was proper for us to be merry and rejoice, for this brother of yours was dead, and is now alive; he was lost, and has now been found.'"" 1","Kintu itu kha luwa kori kena khushi koribole nimite dorkar thakise, kilemane tumi laga itu bhai mori jaisele; kintu etiya jinda hoise; tai harai jaisele, hoilebi etiya tai ke pai loise.’” 1",,,,
"Jesus also said to the disciples, ""There was a certain rich man who had a manager, and it was reported to him that this manager was wasting his possessions. 2","Titia Jisu chela khan ke koise, “Ekjon dhuni manu thakise aru tai laga ekjon imandar thakise, kintu tai malik laga poisa khorcha kori ase koikena kunba pora malik ke koi dise. 2",,,,
"So the rich man called him and said to him, 'What is this that I hear about you? Give an account of your management, for you can no longer be manager.' 3","Titia dhuni manu taike mati kena hudise, ‘Eneka kotha khan tumi laga moi kile huni ase? Tumi ki kaam korise itu sob hisab kitab moike dibi, kilemane tumi etiya pora moi nimite kaam koribole naparibo.’ 3",,,,
"""The manager said to himself, 'What should I do, since my master is taking away my management job? I do not have strength to dig, and I am ashamed to beg. 4","Titia itu imandar pora tai nijor ke koise, ‘Moi etiya ki koribo, moi laga malik pora kaam to moi pora loi lobole ase? Moi iman takot nai mati khundikena kaam koribole aru moi bhik mangi bole sorom lage. 4",,,,
"I know what I will do, so that when I am removed from my management job, people will welcome me into their houses.' 5","Moi ki koribole lage moi jane, jitia moike kaam pora ulai dibo, manukhan taikhan laga ghor te moike matibo.’ 5",,,,
"Then the manager called for each one of his master's debtors, and he asked the first one, 'How much do you owe to my master?' 6","Titia sewak pora jiman manu malik pora dhar loikena thakise sob ke tai matise, aru poila ekjon ke hudise, ‘Tumi moi laga malik ke kiman dibole ase?’ 6",,,,
"""He said, 'A hundred baths of olive oil.' ""He said to him, 'Take your bill, sit down quickly, and write fifty.' 7","Tai koise, ‘Moi eksoh botol oliv tel dibole ase.’ Titia tai ke koise, ‘Tumi laga hisab lobi aru joldi bohikena likhibi pachas.’ 7",,,,
"""Then the manager said to another, 'How much do you owe?' ""He said, 'A hundred cors of wheat.' He said to him, 'Take your bill, and write eighty.' 8","Aru dusra ke hudise, ‘Aru tumi kiman dibole ase?’ Tai koise, ‘Eksoh jola chawal.’ Taike koise, ‘Itu hisab lobi, aru joldi pora likhibi assi.’ 8",,,,
The master then commended the unrighteous manager because he had acted shrewdly. For the sons of this world are more shrewd in dealing with their own people than are the sons of light. 9,"Titia malik pora itu biya imandar jun chalaki pora kaam korise, tai ke bhal paise. Kilekoile, itu yug laga chokra khan to taikhan nijor yug laga chokra khan, jun khan jyoti laga ase, taikhan pora bi bisi chalak ase. 9",,,,
"I say to you, make friends for yourselves by means of unrighteous wealth so that when it is gone, they may welcome you into the eternal dwellings. 10","Moi tumi khan ke koi ase, paap laga dhun sompoti pora sathikhan bonai, aru jitia itu pora eku kaam nadiye, taikhan pora tumikhan ke kitia bi khotom nohua jagate grohon kori lobo. 10",,,,
"He who is faithful in very little is also faithful in much, and he who is unrighteous in very little is also unrighteous in much. 11","Jun manu olop te bi biswas hoi kena thake tai bisi te bi eneka he thake, aru jun manu olop te bi thoga baji kore tai bisi te bi eneka he kore. 11",,,,
"If you have not been faithful in using unrighteous wealth, who will trust you with true wealth? 12","Jodi tumi khan itu sapha nathaka dhun to bhal pora cholai kena rakhibo napare, tine hoile itu hosa dhun to tumi khan ke kun pora dibo? 12",,,,
"If you have not been faithful in using other people's property, who will give you money of your own? 13","Aru tumi khan dusra manu laga dhun to bhal kori kena nacholaile, titia tumi nijor laga dhun to kineka chola bo? 13",,,,
"No servant can serve two masters, for either he will hate the one and love the other, or else he will be devoted to one and despise the other. You cannot serve God and wealth."" 14","Ekjon nokor pora duita malik laga kaam koribo naparibo, eneka korile tai ekjon ke ghin koribo aru ekjon ke morom koribo, aru nohoile ekjon ke chari kena dusra ke jai jabo. Tumi khan Isor aru dhun sompoti eke logote sewa koribole naparibo. 14",,,,
"Now the Pharisees, who were lovers of money, heard all these things, and they ridiculed him. 15","Aru jitia Pharisee jun khan poisa ke morom kore, itu kotha khan hunise taikhan Jisu uporte biya paise. 15",,,,
"He said to them, ""You justify yourselves in the sight of men, but God knows your hearts. That which is exalted among men is detestable in the sight of God. 16","Titia Jisu pora tai khan ke koise, “Tumi khan manu usorte nijorke bhal dikhai, kintu Isor he tumikhan laga mon to jane. Jun manu usorte dangor hobole bisare tai Isor usorte komjur hoi jai. 16",,,,
"The law and the prophets were in effect until John came. From that time on, the gospel of the kingdom of God is preached, and everyone tries to force their way into it. 17","Bhabobadi khan aru kanun khan John laga homoi tak he thakise. Itu homoi para Isor laga rajyo laga susamachar prochar hoise, aru sob manu itu janibo nimite joborjosti jaise. 17",,,,
But it is easier for heaven and earth to pass away than for one stroke of a letter of the law to become invalid. 18,"Sorgo aru prithibi hara bo nimite asan ase, kintu kanun te ki likhi kena ase, itu laga ekta chutu bhag bi naharabo. 18",,,,
"Everyone who divorces his wife and marries another commits adultery, and he who marries one who is divorced from her husband commits adultery. 19","Kun manu tai laga shadi maiki ke chari diye aru dusra maiki ke shadi kore, tai bebichari kaam korise, aru jun manu mota pora chari diya maiki logote shadi kore, tai bi bebichari kaam kori ase. 19",,,,
"""Now there was a certain rich man who was clothed in purple and fine linen and was enjoying every day his great wealth. 20","Etiya ekjon dhuni manu thakise, tai daam begoni rong kapra aru bhal mihin kapra lagai kena thakise, aru hodai din khushi aru moja pora thake. 20",,,,
"A certain beggar named Lazarus was laid at his gate, covered with sores, 21","Kintu ekjon gorib manu Lazarus koi kena tai laga mukhyo diwar te thakise aru tai laga gaw pura te biya ghaw pora bhorta koikena thake, 21",,,,
and longing to eat what fell from the rich man's table. Even the dogs came and licked his sores. 22,aru itu dhuni manu laga thali pora ki gire itu khan khabole nimite rukhi thake. Kintu kutta khan bi ahikena tai laga ghaw to chati thake. 22,,,,
"It came about that the beggar died and was carried away by the angels to Abraham's side. The rich man also died and was buried, 23","Etiya itu gorib manu to mori jaise, aru taike sorgoduth pora Abraham laga usorte loi jaise. Aru itu dhuni manu bi mori jaise aru taike kobor te di dise, 23",,,,
"and in Hades, being in torment, he lifted up his eyes and saw Abraham far away and Lazarus at his side. 24",aru mora manu khan laga desh pora tai laga suku to uthai kena Abraham ke dikhise aru tai laga usorte Lazarus ke bohi thaka dikhise. 24,,,,
"So he cried out and said, 'Father Abraham, have mercy on me and send Lazarus, that he may dip the tip of his finger in water and cool my tongue, for I am in anguish in this flame.' 25","Titia itu dhuni manu kandi kena koise, ‘Baba Abraham, moi uporte morom koribi aru Lazarus ke yate pathai dibi, tai laga anguli pora hoilebi moi ke pani di kena jiba ke thanda kori dibole, kilemane moi itu jui te juli kena dukh pai ase.’ 25",,,,
"""But Abraham said, 'Child, remember that in your lifetime you received your good things, and Lazarus in like manner evil things. But now he is comforted here, and you are in agony. 26","Kintu Abraham pora koise, ‘Bacha, yaad koribi tumi laga jibon te sob bhal saman he paise, aru Lazarus to sob biya he paise. Kintu etiya tai yate aram pora ase, aru tumi dukh te ase. 26",,,,
"Besides all this, a great chasm has been put in place, so that those who want to cross over from here to you cannot, and no one can cross over from there to us.' 27","Itu sob to charikena, tumi aru amikhan majote ekta dangor khai ase, itu thaka pora manu yate pora tumi logote jabo naparibo aru tai khan bi tate pora yate ahibo naparibo.’ 27",,,,
"""The rich man said, 'I beg you, Father Abraham, that you would send him to my father's house— 28","Titia dhuni manu koise, ‘Moi apnike anurodh kori ase, baba, apni kunba ke moi laga baba ghor te pathai dibi- 28",,,,
